iter	Passed	Remaining
422	2309	3150
423	2314	3143
424	2319	3137
425	2323	3131
426	2328	3124
427	2333	3118
428	2338	3111
429	2342	3105
430	2347	3099
431	2352	3093
432	2357	3087
433	2362	3081
434	2367	3074
435	2372	3068
436	2376	3062
437	2381	3055
438	2388	3052
439	2394	3047
440	2401	3044
441	2409	3041
442	2420	3043
443	2434	3048
444	2443	3047
445	2451	3044
446	2459	3042
447	2465	3037
448	2470	3031
449	2475	3026
450	2482	3021
451	2486	3015
452	2491	3008
453	2496	3002
454	2501	2996
455	2506	2990
456	2511	2984
457	2516	2978
458	2521	2971
459	2526	2965
460	2531	2959
461	2536	2953
462	2540	2946
463	2545	2940
464	2550	2934
465	2555	2927
466	2561	2924
467	2568	2919
468	2574	2915
469	2582	2912
470	2591	2910
471	2598	2906
472	2605	2902
473	2612	2898
474	2619	2894
475	2627	2892
476	2632	2886
477	2638	2880
478	2643	2875
479	2648	2868
480	2653	2862
481	2658	2857
482	2663	2850
483	2668	2844
484	2672	2838
485	2677	2832
486	2682	2825
487	2687	2819
488	2691	2813
489	2698	2808
490	2705	2804
491	2711	2799
492	2719	2796
493	2726	2792
494	2731	2786
495	2737	2781
496	2742	2775
497	2748	2770
498	2753	2764
499	2757	2757
500	2762	2751
501	2767	2745
502	2772	2739
503	2777	2733
504	2782	2727
505	2789	2723
506	2796	2719
507	2803	2714
508	2809	2710
509	2816	2706
510	2824	2702
511	2830	2698
512	2836	2692
513	2841	2686
514	2846	2681
515	2852	2675
516	2856	2669
517	2861	2662
518	2866	2656
519	2872	2651
520	2876	2644
521	2881	2638
522	2886	2632
523	2891	2626
524	2896	2620
525	2901	2614
526	2906	2608
527	2910	2602
528	2915	2595
529	2922	2591
530	2929	2587
531	2935	2582
532	2943	2578
533	2948	2573
534	2953	2567
535	2959	2561
536	2964	2556
537	2970	2550
538	2975	2544
539	2980	2538
540	2986	2533
541	2992	2528
542	2999	2524
543	3006	2519
544	3013	2515
545	3021	2512
546	3027	2507
547	3031	2500
548	3036	2494
549	3043	2489
550	3050	2485
551	3055	2479
552	3060	2474
553	3065	2467
554	3070	2462
555	3075	2455
556	3080	2449
557	3085	2443
558	3090	2437
559	3094	2431
560	3099	2425
561	3104	2419
562	3109	2413
563	3114	2407
564	3118	2401
565	3123	2395
566	3128	2389
567	3133	2382
568	3138	2376
569	3143	2371
570	3147	2365
571	3152	2358
572	3157	2352
573	3162	2346
574	3166	2340
575	3171	2334
576	3176	2328
577	3182	2323
578	3191	2320
579	3198	2315
580	3204	2311
581	3211	2306
582	3219	2302
583	3224	2296
584	3228	2290
585	3235	2285
586	3240	2279
587	3245	2273
588	3250	2268
589	3256	2262
590	3260	2256
591	3265	2250
592	3272	2245
593	3278	2241
594	3287	2237
595	3294	2233
596	3300	2228
597	3305	2222
598	3310	2215
599	3315	2210
600	3321	2204
601	3325	2198
602	3330	2192
603	3335	2186
604	3340	2180
605	3344	2174
606	3349	2168
607	3354	2162
608	3359	2157
609	3364	2151
610	3369	2145
611	3374	2139
612	3380	2134
613	3386	2129
614	3393	2124
615	3401	2120
616	3409	2116
617	3415	2110
618	3420	2105
619	3425	2099
620	3432	2094
621	3439	2090
622	3444	2084
623	3449	2078
624	3454	2072
625	3459	2066
626	3464	2060
627	3469	2055
628	3474	2049
629	3479	2043
630	3484	2037
631	3488	2031
632	3493	2025
633	3498	2019
634	3503	2013
635	3508	2008
636	3513	2002
637	3518	1996
638	3523	1990
639	3527	1984
640	3532	1978
641	3537	1972
642	3542	1966
643	3548	1961
644	3553	1955
645	3558	1950
646	3563	1944
647	3568	1938
648	3573	1932
649	3579	1927
650	3586	1922
651	3592	1917
652	3600	1913
653	3608	1909
654	3617	1905
655	3625	1900
656	3632	1896
657	3639	1891
658	3647	1887
659	3652	1881
660	3657	1875
661	3663	1870
662	3667	1864
663	3672	1858
664	3677	1852
665	3682	1846
666	3686	1840
667	3693	1835
668	3699	1830
669	3705	1825
670	3713	1820
671	3720	1815
672	3725	1810
673	3730	1804
674	3735	1798
675	3741	1793
676	3746	1787
677	3751	1781
678	3755	1775
679	3760	1769
680	3765	1764
681	3770	1758
682	3777	1753
683	3784	1748
684	3792	1743
685	3799	1739
686	3808	1735
687	3817	1731
688	3826	1727
689	3833	1722
690	3839	1716
691	3844	1710
692	3849	1705
693	3854	1699
694	3859	1693
695	3864	1687
696	3869	1682
697	3874	1676
698	3878	1670
699	3883	1664
700	3888	1658
701	3893	1652
702	3898	1647
703	3903	1641
704	3908	1635
705	3913	1629
706	3918	1623
707	3923	1618
708	3927	1612
709	3932	1606
710	3937	1600
711	3942	1594
712	3947	1588
713	3951	1582
714	3956	1577
715	3961	1571
716	3966	1565
717	3971	1559
718	3979	1555
719	3986	1550
720	3992	1545
721	3999	1539
722	4007	1535
723	4013	1529
724	4021	1525
725	4028	1520
726	4033	1514
727	4038	1508
728	4043	1503
729	4048	1497
730	4053	1491
731	4058	1485
732	4063	1480
733	4068	1474
734	4073	1468
735	4077	1462
736	4082	1456
737	4087	1451
738	4092	1445
739	4097	1439
740	4102	1433
741	4107	1428
742	4112	1422
743	4117	1416
744	4122	1410
745	4127	1405
746	4131	1399
747	4136	1393
748	4141	1387
749	4146	1382
750	4151	1376
751	4156	1370
752	4160	1364
753	4165	1359
754	4170	1353
755	4177	1348
756	4184	1343
757	4192	1338
758	4199	1333
759	4207	1328
760	4214	1323
761	4219	1317
762	4224	1312
763	4229	1306
764	4234	1300
765	4240	1295
766	4244	1289
767	4250	1283
768	4255	1278
769	4261	1272
770	4268	1267
771	4275	1262
772	4282	1257
773	4289	1252
774	4295	1247
775	4302	1241
776	4309	1236
777	4317	1231
778	4323	1226
779	4330	1221
780	4336	1216
781	4341	1210
782	4346	1204
783	4352	1199
784	4357	1193
785	4362	1187
786	4367	1182
787	4374	1176
788	4379	1171
789	4384	1165
790	4389	1159
791	4394	1154
792	4399	1148
793	4403	1142
794	4408	1136
795	4413	1131
796	4418	1125
797	4422	1119
798	4427	1113
799	4432	1108
800	4437	1102
801	4443	1096
802	4448	1091
803	4452	1085
804	4457	1079
805	4462	1074
806	4467	1068
807	4472	1062
808	4477	1057
809	4481	1051
810	4486	1045
811	4491	1039
812	4496	1034
813	4501	1028
814	4506	1022
815	4511	1017
816	4515	1011
817	4520	1005
818	4525	1000
819	4530	994
820	4537	989
821	4542	983
822	4547	978
823	4552	972
824	4557	966
825	4562	961
826	4567	955
827	4572	949
828	4577	944
829	4582	938
830	4587	932
831	4592	927
832	4597	921
833	4602	915
834	4606	910
835	4611	904
836	4616	898
837	4621	893
838	4626	887
839	4630	882
840	4635	876
841	4640	870
842	4645	865
843	4650	859
844	4655	853
845	4659	848
846	4664	842
847	4669	836
848	4674	831
849	4678	825
850	4683	820
851	4688	814
852	4693	808
853	4698	803
854	4703	797
855	4708	792
856	4713	786
857	4717	780
858	4722	775
859	4727	769
860	4732	764
861	4737	758
862	4742	752
863	4747	747
864	4752	741
865	4756	736
866	4761	730
867	4766	724
868	4773	719
869	4778	713
870	4782	708
871	4787	702
872	4792	697
873	4797	691
874	4802	686
875	4807	680
876	4812	674
877	4816	669
878	4821	663
879	4826	658
880	4831	652
881	4836	647
882	4841	641
883	4846	635
884	4851	630
885	4856	624
886	4861	619
887	4866	613
888	4870	608
889	4875	602
890	4880	597
891	4885	591
892	4889	585
893	4894	580
894	4899	574
895	4904	569
896	4909	563
897	4913	558
898	4918	552
899	4923	547
900	4928	541
901	4932	535
902	4937	530
903	4942	524
904	4947	519
905	4952	513
906	4957	508
907	4962	502
908	4966	497
909	4972	491
910	4977	486
911	4981	480
912	4986	475
913	4991	469
914	4996	464
915	5001	458
916	5006	453
917	5011	447
918	5016	442
919	5021	436
920	5026	431
921	5030	425
922	5035	420
923	5040	414
924	5045	409
925	5050	403
926	5055	398
927	5060	392
928	5065	387
929	5070	381
930	5074	376
931	5079	370
932	5084	365
933	5088	359
934	5093	354
935	5098	348
936	5103	343
937	5107	337
938	5112	332
939	5117	326
940	5121	321
941	5126	315
942	5131	310
943	5136	304
944	5141	299
945	5145	293
946	5150	288
947	5155	282
948	5160	277
949	5165	271
950	5171	266
951	5176	260
952	5180	255
953	5185	250
954	5190	244
955	5195	239
956	5199	233
957	5205	228
958	5209	222
959	5214	217
960	5219	211
961	5223	206
962	5228	200
963	5233	195
964	5238	189
965	5243	184
966	5248	179
967	5253	173
968	5257	168
969	5262	162
970	5267	157
971	5272	151
972	5277	146
973	5282	141
974	5286	135
975	5291	130
976	5296	124
977	5301	119
978	5306	113
979	5311	108
980	5316	102
981	5320	97
982	5325	92
983	5330	86
984	5335	81
985	5340	75
986	5345	70
987	5350	64
988	5355	59
989	5359	54
990	5364	48
991	5370	43
992	5374	37
993	5379	32
994	5384	27
995	5389	21
996	5394	16
997	5398	10
998	5403	5
999	5408	0
