iter	RMSE
0	255.8061066
1	249.6159479
2	244.0204532
3	238.4014777
4	233.1590992
5	227.9036167
6	222.8470925
7	218.0311606
8	213.4121501
9	208.7153534
10	204.1404055
11	200.002807
12	195.8862625
13	191.8542783
14	188.0292792
15	184.1572223
16	180.5777074
17	177.393115
18	173.9081421
19	170.8359747
20	167.8444926
21	164.926247
22	162.0738401
23	159.2545635
24	156.9376791
25	154.597536
26	152.3425261
27	150.0682932
28	147.7811998
29	145.5630821
30	143.3801457
31	141.2331373
32	139.3756151
33	137.4131307
34	135.8458573
35	133.9283374
36	132.209797
37	130.6353103
38	129.2735069
39	127.8220967
40	125.6819127
41	124.1192115
42	122.0529092
43	120.8094621
44	119.2940862
45	118.1297768
46	116.7923415
47	115.6465475
48	114.6660673
49	113.5757802
50	112.6723508
51	111.0260594
52	110.2090334
53	109.4069635
54	108.5923057
55	107.0606479
56	106.3404928
57	105.6155698
58	104.1691484
59	103.5948529
60	102.9862623
61	102.4016987
62	101.5422099
63	100.7910683
64	99.89359177
65	99.38335518
66	98.12950257
67	97.56313243
68	96.28515885
69	95.6335988
70	95.21768267
71	94.76450718
72	93.76399296
73	92.61110277
74	91.62136807
75	91.00278525
76	90.07551392
77	89.74140476
78	89.24826515
79	88.39755443
80	88.00774086
81	87.21430396
82	86.37835855
83	86.06760895
84	85.42536613
85	84.9774495
86	84.57723569
87	84.19043682
88	83.81389754
89	83.03051559
90	82.65675718
91	82.42928385
92	82.14287475
93	81.41554592
94	81.1109754
95	80.7718732
96	80.58355259
97	80.27516261
98	80.03088004
99	79.80881076
100	79.47951431
101	79.29898898
102	78.9041583
103	78.71018576
104	78.30366874
105	78.04131823
106	77.83485563
107	77.66304441
108	77.4984772
109	77.09024201
110	76.93542176
111	76.43197635
112	76.24972182
113	76.02925219
114	75.82881108
115	75.63057774
116	75.10202787
117	74.89592592
118	74.686308
119	74.06316228
120	73.92876601
121	73.78487456
122	73.36344997
123	73.04861155
124	72.5007858
125	72.38844073
126	72.12300153
127	71.73142019
128	71.59017647
129	71.09787668
130	70.99507369
131	70.90477242
132	70.74772777
133	70.63383214
134	70.50337791
135	70.11467898
136	69.70909047
137	69.38055858
138	69.2258854
139	69.13737
140	69.03981971
141	68.92952588
142	68.84294488
143	68.73516545
144	68.65703159
145	68.58668845
146	68.51116133
147	68.07655281
148	68.00097576
149	67.8989934
150	67.82470874
151	67.65978614
152	67.52592213
153	67.42971519
154	67.33041913
155	67.23863453
156	66.90690301
157	66.82102364
158	66.5314147
159	66.46144609
160	66.18227433
161	66.10109448
162	65.98558607
163	65.69471667
164	65.3809802
165	65.26863892
166	65.15411221
167	65.09991711
168	65.03998985
169	64.98722047
170	64.89826062
171	64.82032585
172	64.76826127
173	64.64893437
174	64.58191784
175	64.42961022
176	64.17684102
177	63.95485105
178	63.86587898
179	63.65644417
180	63.61709715
181	63.5573327
182	63.44036048
183	63.36206795
184	63.2212362
185	63.00168654
186	62.80612873
187	62.7448727
188	62.63095482
189	62.36680556
190	62.3240674
191	62.25744928
192	62.17199585
193	62.07220487
194	61.95925077
195	61.8573254
196	61.80094026
197	61.7357309
198	61.69319323
199	61.64254612
200	61.56805776
201	61.48522398
202	61.41384451
203	61.32822967
204	61.29013624
205	61.1859221
206	61.05204537
207	60.9726406
208	60.79081821
209	60.57506515
210	60.54888119
211	60.48028386
212	60.43326167
213	60.21095409
214	60.1793489
215	60.1471727
216	60.10216078
217	59.87280385
218	59.79124427
219	59.73915171
220	59.65266894
221	59.59444134
222	59.53750105
223	59.49199301
224	59.38350998
225	59.34352352
226	59.1598996
